year,month,dayofmonth,dayofweek,deptime,crsdeptime,arrtime,crsarrtime,uniquecarrier,flightnum,tailnum,actualelapsedtime,crselapsedtime,airtime,arrdelay,depdelay,origin,dest,distance,taxiin,taxiout,cancelled,cancellationcode,diverted,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay
2008,6,8,7,737,738,744,801,UA,331,N377UA,67,83,52,-17,-1,CMH,ORD,296,3,12,0,"",0,NA,NA,NA,NA,NA
2008,10,13,1,1511,1505,1614,1610,WN,302,N762SW,63,65,46,4,6,BWI,RDU,255,5,12,0,"",0,NA,NA,NA,NA,NA
2008,11,13,4,1735,1730,2002,1940,AA,1955,N4XAAA,147,130,105,22,5,BHM,DFW,597,25,17,0,"",0,0,0,22,0,0
2008,4,8,2,1019,1020,1244,1235,AA,779,N4YBAA,265,255,251,9,-1,ORD,SAN,1723,2,12,0,"",0,NA,NA,NA,NA,NA
2008,5,12,1,923,925,1040,1045,WN,447,N215WN,77,80,63,-5,-2,BWI,MHT,377,3,11,0,"",0,NA,NA,NA,NA,NA
2008,2,14,4,1326,1330,1547,1605,MQ,3618,N515AE,201,215,168,-18,-4,ORF,DFW,1213,7,26,0,"",0,NA,NA,NA,NA,NA
2008,8,30,6,1108,1110,1227,1240,NW,1527,N762NC,79,90,60,-13,-2,MSP,MCI,393,7,12,0,"",0,NA,NA,NA,NA,NA
2008,4,26,6,908,910,1058,1055,MQ,4033,N622AE,50,45,28,3,-2,ORD,GRR,137,2,20,0,"",0,NA,NA,NA,NA,NA
2008,10,17,5,1428,1425,1508,1505,MQ,3441,N690MQ,40,40,22,3,3,DFW,ACT,89,3,15,0,"",0,NA,NA,NA,NA,NA
2008,7,13,7,1705,1620,1757,1714,OO,3831,N438SW,112,114,88,43,45,SLC,PDX,630,3,21,0,"",0,43,0,0,0,0
2008,1,19,6,1437,1439,1635,1644,US,75,N827AW,178,185,156,-9,-2,PHX,SEA,1107,7,15,0,"",0,NA,NA,NA,NA,NA
2008,10,18,6,1617,1620,1806,1812,9E,2915,84779E,109,112,84,-6,-3,SWF,DTW,479,11,14,0,"",0,NA,NA,NA,NA,NA
2008,10,28,2,1623,1625,2218,2215,WN,2979,N462WN,235,230,225,3,-2,PDX,MDW,1751,4,6,0,"",0,NA,NA,NA,NA,NA
2008,11,7,5,831,835,1208,1207,OO,4416,N429SW,157,152,130,1,-4,SLC,MCI,919,4,23,0,"",0,NA,NA,NA,NA,NA
2008,3,27,4,1501,1452,1643,1623,UA,1524,N447UA,102,91,69,20,9,SFO,LAS,414,6,27,0,"",0,9,0,11,0,0
2008,3,2,7,2203,1840,37,2136,B6,138,N523JB,154,176,138,181,203,RSW,JFK,1074,4,12,0,"",0,62,0,0,0,119
2008,12,12,5,NA,1740,NA,1814,HA,545,"",NA,34,NA,NA,NA,OGG,HNL,100,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,4,17,4,1633,1630,50,42,CO,427,N12221,317,312,296,8,3,SAN,EWR,2425,5,16,0,"",0,NA,NA,NA,NA,NA
2008,9,4,4,941,945,1053,1055,9E,5954,85019E,72,70,46,-2,-4,MEM,SGF,243,4,22,0,"",0,NA,NA,NA,NA,NA
2008,8,7,4,959,1008,1119,1117,UA,895,N338UA,140,129,93,2,-9,ATL,ORD,606,9,38,0,"",0,NA,NA,NA,NA,NA
2008,9,17,3,2041,2045,2322,2330,AA,2049,N3AXAA,221,225,202,-8,-4,MIA,MSP,1501,6,13,0,"",0,NA,NA,NA,NA,NA
2008,4,3,4,1405,1345,1609,1600,AA,2207,N5CAAA,184,195,159,9,20,MIA,DFW,1121,11,14,0,"",0,NA,NA,NA,NA,NA
2008,7,26,6,1300,1310,2135,2149,NW,220,N592NW,335,339,307,-14,-10,HNL,SEA,2677,5,23,0,"",0,NA,NA,NA,NA,NA
2008,7,11,5,1818,1825,2021,2030,OO,2568,N699BR,63,65,46,-9,-7,MKE,DAY,284,5,12,0,"",0,NA,NA,NA,NA,NA
2008,4,6,7,1957,1845,2316,2136,US,1245,N438US,199,171,154,100,72,PHL,TPA,920,9,36,0,"",0,0,0,28,0,72
2008,11,11,2,1608,1613,1905,1900,OO,4674,N438SW,117,107,99,5,-5,BUR,SLC,574,5,13,0,"",0,NA,NA,NA,NA,NA
2008,7,28,1,1705,1659,1812,1823,OO,5801,N983SW,67,84,49,-11,6,DSM,ORD,299,8,10,0,"",0,NA,NA,NA,NA,NA
2008,7,30,3,1638,1630,1756,1742,OO,5945,N764SK,78,72,61,14,8,SFO,BUR,326,4,13,0,"",0,NA,NA,NA,NA,NA
2008,3,27,4,1420,1430,1513,1532,XE,2866,N12519,53,62,37,-19,-10,LFT,IAH,201,8,8,0,"",0,NA,NA,NA,NA,NA
2008,8,7,4,1951,1955,2216,2220,F9,438,N906FR,85,85,65,-4,-4,DEN,OMA,472,6,14,0,"",0,NA,NA,NA,NA,NA
2008,7,18,5,859,900,938,953,OO,5784,N569SW,39,53,32,-15,-1,SEA,PDX,129,2,5,0,"",0,NA,NA,NA,NA,NA
2008,6,19,4,842,850,944,1005,UA,199,N936UA,62,75,50,-21,-8,ORD,DSM,299,3,9,0,"",0,NA,NA,NA,NA,NA
2008,7,19,6,1343,1345,1419,1429,YV,7245,N75996,36,44,23,-10,-2,MDT,IAD,94,4,9,0,"",0,NA,NA,NA,NA,NA
2008,3,7,5,1847,1800,2051,1940,MQ,4735,N723AE,124,100,58,71,47,RDU,LGA,431,6,60,0,"",0,0,0,71,0,0
2008,8,16,6,856,900,1019,1020,XE,2269,N24517,83,80,61,-1,-4,GPT,IAH,376,11,11,0,"",0,NA,NA,NA,NA,NA
2008,10,10,5,815,820,1530,1555,NW,340,N329NW,255,275,229,-25,-5,SFO,DTW,2079,9,17,0,"",0,NA,NA,NA,NA,NA
2008,12,26,5,905,900,1112,1115,CO,1714,N38417,247,255,212,-3,5,IAH,SMF,1609,7,28,0,"",0,NA,NA,NA,NA,NA
2008,2,10,7,1744,1800,1957,2010,MQ,3734,N851AE,133,130,102,-13,-16,VPS,DFW,626,13,18,0,"",0,NA,NA,NA,NA,NA
2008,5,19,1,718,720,759,805,WN,2468,N765SW,221,225,204,-6,-2,SDF,PHX,1506,5,12,0,"",0,NA,NA,NA,NA,NA
2008,2,27,3,1522,1516,1647,1647,OO,6623,N443SW,145,151,127,0,6,DEN,BUR,850,3,15,0,"",0,NA,NA,NA,NA,NA
