year,month,dayofmonth,dayofweek,deptime,crsdeptime,arrtime,crsarrtime,uniquecarrier,flightnum,tailnum,actualelapsedtime,crselapsedtime,airtime,arrdelay,depdelay,origin,dest,distance,taxiin,taxiout,cancelled,cancellationcode,diverted,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay
2008,12,18,4,1751,1747,1843,1853,US,242,N803AW,52,66,35,-10,4,SNA,LAS,226,8,9,0,"",0,NA,NA,NA,NA,NA
2008,1,24,4,605,615,745,757,DL,717,N3771K,100,102,83,-12,-10,BWI,CVG,430,5,12,0,"",0,NA,NA,NA,NA,NA
2008,4,6,7,2218,2116,14,2308,NW,321,N509US,236,232,214,66,62,MSP,LAX,1536,8,14,0,"",0,61,0,4,0,1
2008,12,30,2,912,915,1150,1156,9E,2207,87979E,98,101,76,-6,-3,MEM,JAX,576,7,15,0,"",0,NA,NA,NA,NA,NA
2008,5,26,1,1454,1455,1613,1610,WN,3833,N232WN,199,195,184,3,-1,MSY,PHX,1301,5,10,0,"",0,NA,NA,NA,NA,NA
2008,8,10,7,2349,2310,57,29,FL,749,N169AT,68,79,54,28,39,ATL,MCO,403,4,10,0,"",0,28,0,0,0,0
2008,11,23,7,1044,1045,1308,1311,FL,924,N184AT,144,146,129,-3,-1,BWI,RSW,919,5,10,0,"",0,NA,NA,NA,NA,NA
2008,8,25,1,2031,1840,2148,2011,EV,4337,N824AS,77,91,46,97,111,ATL,GNV,300,3,28,0,"",0,25,72,0,0,0
2008,6,28,6,1125,1105,1332,1330,MQ,4452,N674RJ,67,85,49,2,20,ORD,DTW,235,6,12,0,"",0,NA,NA,NA,NA,NA
2008,2,18,1,1401,1355,1507,1500,WN,446,N233LV,66,65,43,7,6,BUR,LAS,223,8,15,0,"",0,NA,NA,NA,NA,NA
2008,8,19,2,1038,1045,1352,1354,DL,679,N928DL,194,189,159,-2,-7,JFK,MIA,1090,11,24,0,"",0,NA,NA,NA,NA,NA
2008,2,25,1,1924,1925,2138,2155,WN,1637,N425LV,254,270,227,-17,-1,MDW,PDX,1751,4,23,0,"",0,NA,NA,NA,NA,NA
2008,8,25,1,2052,2055,533,525,B6,470,N706JB,341,330,319,8,-3,SJC,BOS,2689,5,17,0,"",0,NA,NA,NA,NA,NA
2008,8,20,3,NA,750,NA,840,EV,4863,N930EV,NA,110,NA,NA,NA,MCO,HSV,535,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,8,8,5,1509,1510,1718,1655,AA,1215,N249AA,189,165,127,23,-1,BOS,ORD,867,7,55,0,"",0,0,0,23,0,0
2008,8,20,3,1914,1915,2249,2245,AA,782,N553AA,155,150,133,4,-1,ORD,TPA,1012,5,17,0,"",0,NA,NA,NA,NA,NA
2008,8,4,1,924,928,1029,1036,CO,422,N18243,65,68,46,-7,-4,MSY,IAH,305,8,11,0,"",0,NA,NA,NA,NA,NA
2008,3,7,5,1246,1245,1456,1452,AS,338,N772AS,130,127,108,4,1,SEA,OAK,671,7,15,0,"",0,NA,NA,NA,NA,NA
2008,10,11,6,1707,1620,1843,1750,WN,2079,N240WN,96,90,69,53,47,MHT,PHL,290,9,18,0,"",0,0,0,53,0,0
2008,3,11,2,2214,2220,2250,2306,OO,5754,N296SW,36,46,22,-16,-6,LAX,CLD,86,4,10,0,"",0,NA,NA,NA,NA,NA
2008,4,13,7,1829,1835,2049,2113,FL,635,N963AT,140,158,128,-24,-6,TPA,ROC,1079,3,9,0,"",0,NA,NA,NA,NA,NA
2008,9,16,2,1558,1540,1726,1715,DL,1593,N969DL,88,95,70,11,18,DAY,ATL,432,9,9,0,"",0,NA,NA,NA,NA,NA
2008,12,25,4,1935,1820,2053,1947,US,733,N922UW,78,87,63,66,75,CLT,MCO,468,2,13,0,"",0,9,0,0,0,57
2008,1,16,3,2225,2230,2319,2320,OO,6411,N728SK,54,50,26,-1,-5,LAX,SAN,109,5,23,0,"",0,NA,NA,NA,NA,NA
2008,9,4,4,1939,1940,2048,2055,WN,1435,N909WN,69,75,59,-7,-1,SMF,ONT,389,3,7,0,"",0,NA,NA,NA,NA,NA
2008,10,20,1,1713,1718,2002,2016,NW,1756,N600TR,109,118,84,-14,-5,MCI,DTW,629,13,12,0,"",0,NA,NA,NA,NA,NA
2008,3,12,3,1319,1310,1441,1439,NW,139,N9333,82,89,63,2,9,ORD,MSP,334,5,14,0,"",0,NA,NA,NA,NA,NA
2008,1,17,4,629,630,1224,1203,NW,302,N359NB,235,213,210,21,-1,LAX,MSP,1536,7,18,0,"",0,0,0,21,0,0
